,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,release_month,day_of_release
0,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936,30716,196631588,92.0,84274754,1713126,5767700,"651,565,900",5332281936,150597040,210,40975,684,62,17598718,114,18004655,22931,4818457,2669262,0,4,Friday
1,Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884,28113,174597137,92.0,116347040,3486739,674700,"35,223,547",208339025,156380351,188,40778,3,67,10422430,111,7780028,28444,6623075,1118279,1,5,Saturday
2,i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283,54331,211607669,92.0,122599116,2228730,3025400,"275,154,237",3369120610,373784955,190,74333,536,136,36321847,172,5022621,5639,7208651,5285340,0,3,Tuesday
3,Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633,269802,136569078,85.0,1096100899,10629796,7189811,"1,078,757,968",14603725994,3351188582,394,1474799,2182,264,24684248,210,190260277,203384,,11822942,0,1,Thursday
4,Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922,7223,151469874,88.0,77373957,3670188,16400,,,112763851,182,12185,1,82,17660624,105,4493884,7006,207179,457017,1,5,Friday
5,Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438,105892,175421034,83.0,131148091,1392593,4202367,"214,943,489",2938686633,2867222632,138,522042,4654,86,17167254,152,138529362,50982,9438601,4517131,1,11,Friday
6,Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751,73118,201585714,86.0,308723145,4120760,,"29,584,940",534915313,4601579812,280,383478,429,168,48197850,154,65447476,57372,,9990302,0,1,Thursday
7,Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153,40094,211236940,92.0,228382568,1439495,3500000,"338,546,668",3804584163,2112581620,160,17221,30,87,33245595,53,3372428,5762,,6063523,1,2,Friday
8,Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,1653018119,1,15,,,,,,,,,,,,,,,,,,1,6,Sunday
9,BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573,10400,184199419,86.0,32735244,988682,325800,"121,574,500",974656200,174706874,191,3823,117,78,10800098,92,1005626,842,3679709,666302,1,5,Thursday
10,I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413,16219,168766158,91.0,32229063,550191,,"184,500",2100000,327130768,157,62312,71,60,12009073,114,23155471,21172,1594605,963413,1,5,Friday
11,The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129,2,263767,,,,,,,,,,,,,2,,,,,1,6,Friday
12,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195,13800,197280692,92.0,40022524,1307290,195300,"45,889,000",360017000,342107131,244,41344,45,138,38243636,163,1354692,1219,1313357,450344,0,5,Friday
13,Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436,43025,108168634,88.0,98081493,1456177,,,,174491415,153,90237,3,55,3001826,109,26252264,18364,12038034,1963314,1,3,Friday
14,bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185,277,24445,12.0,6736502312,16785489,3,"1,088",22234,,1,1057,,,,,,,,3288,0,10,Friday
